State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID,Service Area Sq Miles,Service Area Pop,Primary UZA UACE Code,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service,State Admin Funds Expended
A0019,55589,,City of Berea,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,11 Berea Cmns,,,Berea,OH,44017.0,2524.0,5,https://www.cityofberea.org/,,F368H64KYF76,,,,,,,,,,,0,,,Tier II,,,
A0019,55590,,City of Fairview Park,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,,,,,OH,,,5,https://www.fairviewpark.org/,,NMUMXRJWHF85,,,,,,,,,,,0,,,Tier II,,,
A0019,55591,,City of Maple Heights,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,,,,,OH,,,5,http://www.citymapleheights.com/,,LCCXK5YPENK3,,,,,,,,,,,0,,,Tier II,,,
A0019,55592,,City of North Ridgeville,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,,,,,OH,,,5,http://www.nridgeville.org/,,V8LHL1JNFSA4,,,,,,,,,,,0,,,Tier II,,,
A0019,55593,,City of Solon,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,,,,,OH,,,5,https://www.solonohio.org/,,N6RXMS4NF536,,,,,,,,,,,0,,,Tier II,,,
A0019,55594,,City of Strongsville,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,16099 Foltz Pkwy,,,Strongsville,OH,44149.0,5501.0,5,https://www.strongsville.org/,,KNASMN23HW67,,,,,,,,,,,0,,,Tier II,,,
A0019,55595,,Cleveland Sight Center,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,1909 East 101St Street,,,Cleveland,OH,44106.0,4110.0,5,https://www.clevelandsightcenter.org/,,JXMQYAQA2R26,,,,,,,,,,,0,,,Tier II,,,
A0019,55598,,Lakewood Foundation,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,16024 Madison Ave ,,,Lakewood,OH,44107.0,5616.0,5,http://thelakewoodfoundation.org/,,MF3MLVW1LHX8,,,,,,,,,,,0,,,Tier II,,,
A0019,55600,,Senior Citizen Resources,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,,,,,OH,,,5,http://www.seniorcitizenresources.org/,,GHUZXAEC1A84,,,,,,,,,,,0,,,Tier II,,,
A0019,55601,,Southwest General Health Center,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,18697 Bagley Rd,,,Cleveland,OH,44130.0,3417.0,5,https://www.swgeneral.com/,,NL49VTHGKSE7,,,,,,,,,,,0,,,Tier II,,,
A0019,55602,,Senior Transportation Connection,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,4735 W 150Th St Frnt A,,,Cleveland,OH,44135.0,3350.0,5,https://ridestc.org/,,NQ4FKM6NLBD8,,,,,,,,,,,0,,,Tier II,,,
A0019,55603,,"Transport Assistance, Inc.",,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,5481 State Road,,,Parma,OH,44134.0,,5,http://www.trans-assist.com/,,,,,,,,,,,,,0,,,Tier II,,,
A0019,55604,,Village of Brooklyn Heights,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,233 Tuxedo Ave,,,Cleveland,OH,44131.0,1107.0,5,http://www.brooklynhts.org/,,QLP9SH8MFNZ4,,,,,,,,,,,0,,,Tier II,,,
5R06,55605,,County of Langlade,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",5R06,Wisconsin Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,800 Clermont St,,,Antigo,WI,54409.0,1947.0,5,https://www.co.langlade.wi.us/,,MKLHQT57VKN4,,,,,,,,,,,0,,,Tier II,,,
5R06,55606,,Oconto County Commission on Aging,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,5R06,Wisconsin Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,1210 Main St.,,,Oconto,WI,54153.0,,5,https://www.ocontocoa.com/programs/transportation-programs/,,,,,,,,,,,,,0,,,Tier II,,,
5R06,55608,,"Northern Lights Services, Inc.",,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,5R06,Wisconsin Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,706 Bratley Dr,,,Washburn,WI,54891.0,1143.0,5,https://www.facebook.com/northernlightsservices/,,L6P2SYQFHRF9,,,,,,,,,,,0,,,Tier II,,,
A0011,55609,,Van Buren Township,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",A0011,Suburban Mobility Authority for Regional Transportation,Asset Subrecipient,2023-06-30,2023-10-31,46425 Tyler Rd,,,Van Buren Twp,MI,48111.0,5217.0,5,www.vanburen-mi.org,,DMCXSZFNVJS5,,,,,,,,,,,0,,,Tier II,,,
A0011,55610,,New Gateways ,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0011,Suburban Mobility Authority for Regional Transportation,Asset Subrecipient,2023-06-30,2023-10-31,5195 Pontiac Lake Rd.,,,Waterford,MI,48327.0,,5,www.newgateways.com,,,,,,,,,,,,,0,,,Tier II,,,
A0011,55611,,Grosse Ile,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",A0011,Suburban Mobility Authority for Regional Transportation,Asset Subrecipient,2023-06-30,2023-10-31,25125 West River Road,,,Grosse Ile,MI,48138.0,,5,www.grosseile.com,,,,,,,,,,,,,0,,,Tier II,,,
A0020,55614,,"Warren County Community Services, Inc.",,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,645 Oak St,,,Lebanon,OH,45036.0,1751.0,5,https://www.wccsi.org/sitepages/PGM_AGING-SrTransportation.html,,WNA6RPJ2F3P7,,,,,,,,,,,0,,,Tier II,,,
A0020,55615,,The Knolls of Oxford,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,11100 Springfield Pike,,,Cincinnati,OH,45246.0,4112.0,5,https://knollsofoxford.org,,CTGCN92KKUJ7,,,,,,,,,,,0,,,Tier II,,,
A0020,55617,,"SEM Villa, Inc.",,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,201 Mound Ave,,,Milford,OH,45150.0,3520.0,5,www.semvilla.org,,XJ2BQBA2SYC5,,,,,,,,,,,0,,,Tier II,,,
A0020,55623,,Mayerson Jewish Community Center of Cincinnati,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,8485 Ridge Rd,,,Cincinnati,OH,45236.0,1300.0,5,https://mayersonjcc.org/services/,,MN2MZXKKLKK1,,,,,,,,,,,0,,,Tier II,,,
A0020,55628,,Clermont Senior Services,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,2085 James E Sauls Sr Dr,,,Batavia,OH,45103.0,3255.0,5,http://clermontseniors.com/services/transportation/,,MGZLA8RMN714,,,,,,,,,,,0,,,Tier II,,,
A0020,55631,,Mercy Health West Park Senior Living & Rehabilitation ,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,2950 W Park Drive,,,Cincinnati,OH,45238.0,,5,https://www.mercy.com/locations/senior-living/cincinnati/mercy-health-west-park,,,,,,,,,,,,,0,,,Tier II,,,
A0020,55633,,Episcopal Retirement Home,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,3870 Virginia Ave,,,Cincinnati,OH,45227.0,3427.0,5,https://www.episcopalretirement.com/,,SW28ETEUJ8N7,,,,,,,,,,,0,,,Tier II,,,
A0020,55634,,Easter Seals TriState,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,2901 Gilbert Ave,,,Cincinnati,OH,45206.0,1211.0,5,https://www.easterseals.com/gc/,,T1YMHHM36J47,,,,,,,,,,,0,,,Tier II,,,
A0020,55635,,Colerain Township,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,4200 Springdale Rd,,,Cincinnati,OH,45251.0,1419.0,5,https://www.colerain.org/192/Senior-Community-Center,,F4A1H7D2VE13,,,,,,,,,,,0,,,Tier II,,,
A0011,55637,,SMART,,,,Reduced Asset Reporter,Asset,Independent Public Agency or Authority of Transit Service,A0011,Suburban Mobility Authority for Regional Transportation,Asset Subrecipient,2023-06-30,2023-10-31,535 Griswold St Ste 600,Suite 600,,Detroit,MI,48226.0,3691.0,5,www.smartbus.org,1209.0,C2BVL7YAWEF2,,,,,,,,,,,0,,,Tier II,,,
A0020,55639,,Central Connections,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,3907 Central Avenue,,,Middletown,OH,45044.0,,5,http://www.centralconnections.org/,,,,,,,,,,,,,0,,,Tier II,,,
A0020,55641,,Partners in Prime,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,230 Ludlow St,,,Hamilton,OH,45011.0,2903.0,5,https://www.community-first.org/,,ECK4WNALTPT1,,,,,,,,,,,0,,,Tier II,,,
A0020,55642,,"Oxford Senior Citizens, Inc.",,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,922 Tollgate Dr,,,Oxford,OH,45056.0,2065.0,5,http://www.oxfordsenior.org/,,C1HADTHFMCM3,,,,,,,,,,,0,,,Tier II,,,
A0020,55646,,Maple Knoll Communities,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,11100 Springfield Pike,,,Cincinnati,OH,45246.0,4112.0,5,https://mapleknoll.org/,,CTGCN92KKUJ7,,,,,,,,,,,0,,,Tier II,,,
A0019,55648,,City of Cleveland Heights,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",A0019,Northeast Ohio Areawide Coordinating Agency,Asset Subrecipient,2023-06-30,2023-10-31,400 Severence Cir,,,Cleveland,OH,44118.0,,5,https://www.clevelandheights.com/,,S8KXNLPMRMU7,,,,,,,,,,,0,,,Tier II,,,
5R06,55649,,County of Calumet,,,,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",5R06,Wisconsin Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,206 Court St,,,Chilton,WI,53014.0,1127.0,5,https://www.co.calumet.wi.us/291/Transportation-Services,,UXLPME2CJYG6,,,,,,,,,,,0,,,Tier II,,,
5R06,55650,,Northwoods Incorporated of Wisconsin,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,5R06,Wisconsin Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,N6510 Us Highway 51,,357,Portage,WI,53901.0,9603.0,5,https://nwdswi.org/,,DWGXTA83G1D5,,,,,,,,,,,0,,,Tier II,,,
5R06,55651,,"Valley Packaging Industries, Inc.",,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,5R06,Wisconsin Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,110 N Kensington Dr,,,Appleton,WI,54915.0,3303.0,5,https://www.vpind.com/,,C63AKWLSMN69,,,,,,,,,,,0,,,Tier II,,,
5R06,55652,,Center for Independent Living-Western Wisconsin,,CILWW,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,5R06,Wisconsin Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,2920 Schneider Ave Se,,,Menomonie,WI,54751.0,2331.0,5,http://cilww.com/transportation-services/,,Y6XCU6PDCT75,,,,,,,,,,,0,,,Tier II,,,
5R06,55653,,"Sunshine House, Inc.",,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,5R06,Wisconsin Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,55 W Yew St,,,Sturgeon Bay,WI,54235.0,1962.0,5,https://sunshinehouse.com/,,UKKVUKDF3ZH5,,,,,,,,,,,0,,,Tier II,,,
5R05,55657,,Access Tusc,Transit,,Access Tusc,Rural Reporter,Rural,Private-Non-Profit Corporation,5R05,Ohio Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,1458 5Th St Nw,,314,New Philadelphia,OH,44663.0,1224.0,5,https://www.accesstusc.org/access-tusc-transit,1225.0,MZNRK19838C8,,,,,,,,,9.0,,9,0.0,0.0,Tier II,,,
A0011,55659,,ANGELS' PLACE,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0011,Suburban Mobility Authority for Regional Transportation,Asset Subrecipient,2023-06-30,2023-10-31,29299 Franklin Rd,STE 2,,Southfield,MI,48034.0,8102.0,5,www.angelsplace.com,,FDHEDNKLVJY9,,,,,,,,,,,0,,,Tier II,,,
A0011,55660,,JARC,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0011,Suburban Mobility Authority for Regional Transportation,Asset Subrecipient,2023-06-30,2023-10-31,30301 Northwestern Hwy Ste 100,,,Farmington Hills,MI,48334.0,3277.0,5,www.jarc.org,,R1QLJ9NKEMM9,,,,,,,,,,,0,,,Tier II,,,
A0011,55661,,Freedom Work Opportunities,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0011,Suburban Mobility Authority for Regional Transportation,Asset Subrecipient,2023-06-30,2023-10-31,900 Middle Rd.,,,Highland,MI,48357.0,,5,www.freedomwork.org,,,,,,,,,,,,,0,,,Tier II,,,
A0011,55662,,Family Living Center,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0011,Suburban Mobility Authority for Regional Transportation,Asset Subrecipient,2023-06-30,2023-10-31,132 Franklin Blvd.,Suite 101,,Pontiac,MI,48341.0,,5,www.familylivingcenter.org,,,,,,,,,,,,,0,,,Tier II,,,
A0020,55663,,Meals on Wheels - Cincinnati,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,A0020,Ohio-Kentucky-Indiana Regional Council of Governments,Asset Subrecipient,2023-06-30,2023-10-31,644 Linn Street,Suite 304,,Cincinnati,OH,45202.0,,5,https://www.muchmorethanameal.org,,,,,,,,,,,,,0,,,Tier II,,,
5R02,55664,,Shelby Senior Services ,,,ShelbyGo Public Transit ,Rural Reporter,Rural,Private-Non-Profit Corporation,5R02,Indiana Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,2120 Intelliplex Dr,STE 101,,Shelbyville,IN,46176.0,8006.0,5,https://shelbyseniorservices.org/shelby-go/,1189.0,WLHCRPG2PCW7,,,,,,,,,4.0,,4,0.0,0.0,Tier II,,,
5R02,55665,,Brown County YMCA,,,ACCESS Brown County Public Transit ,Rural Reporter,Rural,Private-Non-Profit Corporation,5R02,Indiana Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,105 Willow St,,,Nashville,IN,47448.0,7913.0,5,https://browncountyymca.org/access-brown-county/,1189.0,CVKZCUKNQYG9,,,,,,,,,4.0,,4,0.0,0.0,Tier II,,,
5R05,55668,,Meigs County Public Transit,Meigs County Job & Family Services,MCPT,Meigs Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",5R05,Ohio Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,100 E 2Nd St,STE 301,,Pomeroy,OH,45769.0,1095.0,5,https://meigsdjfs.net/meigs-transit/,1225.0,R46YX2KBH6G5,,,,,,,,,12.0,,12,0.0,0.0,Tier II,,,
,5R01,5R01,Illinois Department of Transportation,,OIPI,,State Reporter,Rural,,,,,2023-06-30,2023-10-31,2300 S Dirksen Pkwy,,,Springfield,IL,62764.0,2.0,5,http://www.dot.il.gov/,1177.0,CHQWQ676QGB3,,,,,,,,,,,0,,,Tier II,102.0,93.0,0.0
,5R02,5R02,Indiana Department of Transportation,INDOT Office of Transit ,INDOT,,State Reporter,Rural,,,,,2023-12-31,2024-04-30,100 N Senate Ave,,,Indianapolis,IN,46204.0,2273.0,5,http://www.in.gov/indot/,1189.0,JGG2ZJCXBMY3,,,,,,,,,,,0,,,Tier II,92.0,67.0,331829.0
,5R03,5R03,Michigan Department of Transportation,,MDOT,,State Reporter,Rural,,,,,2023-09-30,2024-01-31,425 W Ottawa St,4TH FLOOR,30050,Lansing,MI,48933.0,1532.0,5,http://www.michigan.gov/mdot/,1207.0,NVZJM5MJ2MB6,,,,,,,,,,,0,,,Tier II,83.0,74.0,1318324.0
,5R04,5R04,Minnesota Department of Transportation ,,MnDOT,,State Reporter,Rural,,,,,2023-06-30,2023-10-31,395 John Ireland Blvd,,,Saint Paul,MN,55155.0,1800.0,5,http://www.dot.state.mn.us/,2039.0,JL4EX4R4A647,,,,,,,,,,,0,,,Tier II,87.0,86.0,2744374.0
,5R05,5R05,Ohio Department of Transportation,,ODOT,,State Reporter,Rural,,,,,2023-12-31,2024-04-30,1980 W Broad St,FL 4,,Columbus,OH,43223.0,1102.0,5,http://www.dot.state.oh.us/,1225.0,ERAMRH53K2Y7,,,,,,,,,,,0,,,Tier II,88.0,45.0,1008495.0
,5R06,5R06,Wisconsin Department of Transportation,Division of Transporation Investment Management/BTLRRH/Transit Section,WisDOT,,State Reporter,Rural,,,,,2023-06-30,2023-10-31,4822 Madison Yards Way,,7913,Madison,WI,53705.0,9100.0,5,www.dot.wisconsin.gov,1245.0,CBE4JHP1S8H7,,,,,,,,,,,0,,,Tier II,72.0,60.0,135084.0
,60001,6001,City of Amarillo,,ACT,Amarillo City Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,601 S Buchanan St,,1971,Amarillo,TX,79101.0,2517.0,6,www.amarillotransit.com,1530.0,NV4JC28TLJL6,74.0,200393.0,1927.0,"Amarillo, TX",,205860.0,2450.91636671026,83.99,22.0,,22,,,Tier II,,,
,60002,6T02,Chickasaw Nation,Department of Community Services/Division of Social Services,,the Chickasaw Nation ,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,520 Arlington St,,1548,Ada,OK,74820.0,2204.0,6,http://www.chickasaw.net/,5490.0,KS8HLVMJEMW9,,,40.0,Oklahoma Non-UZA,"Chickasaw OTSA, OK",1994607.0,0.0,0.0,39.0,,39,,,Tier II,,,
,60003,6T03,Choctaw Nation of Oklahoma,,,,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,1802 Chukka Hina,,146,Durant,OK,74701.0,7117.0,6,http://cntransit.cnhsa.com,6705.0,GNZLNKLREX72,,,40.0,Oklahoma Non-UZA,"Choctaw OTSA, OK",1994607.0,0.0,0.0,36.0,,36,,,Tier II,,,
,60004,6T04,Citizen Potawatomi Nation,,CPN,,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,1601 Gordon Cooper Dr,,,Shawnee,OK,74801.0,9002.0,6,http://www.potawatomi.org/,6715.0,NMFYBB8HBGC1,,,40.0,Oklahoma Non-UZA,"Citizen Potawatomi Nation-Absentee Shawnee OTSA, OK",1994607.0,0.0,0.0,7.0,,7,,,Tier II,,,
,60005,6T05,Comanche Nation,,,Comanche Nation Transit Program,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,584 Nw Bingo Rd,,908,Lawton,OK,73507.0,1214.0,6,:https://comanchenation.com/departments/family-services/transit,6904.0,YKM4BJKJJTE5,,,40.0,Oklahoma Non-UZA,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA, OK; Kiowa-Comanche-Apache-Fort Sill Apache OTSA, OK",1994607.0,0.0,0.0,15.0,,15,,,Tier II,,,
,60006,6006,City of El Paso,Mass Transit Department,,Sun Metro,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-08-31,2024-01-31,300 N Campbell St,,1890,El Paso,TX,79901.0,1402.0,6,http://www.sunmetro.net,1539.0,KLZGKXNFVTL4,234.0,772374.0,27253.0,"El Paso, TX--NM",,854584.0,3339.74017129181,255.88,101.0,55.0,156,,,Tier I (Rail),,,
,60007,6007,Fort Worth Transportation Authority,,FWTA,Trinity Metro,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-09-30,2024-01-31,1600 E. Lancaster Ave,,,Fort Worth,TX,76102.0,6720.0,6,https://ridetrinitymetro.org/,1540.0,T4EWRHA18AG7,350.0,927285.0,22042.0,"Dallas--Fort Worth--Arlington, TX",,5732354.0,3281.45024743112,1746.9,159.0,276.0,435,,,Tier I (Rail),,,
,60008,6008,"Metropolitan Transit Authority of Harris County, Texas ",,,METRO,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-09-30,2024-01-31,1900 Main St,,61429,Houston,TX,77002.0,8130.0,6,http://www.ridemetro.org/,1547.0,CDEZZSTCZTR5,1309.0,4038849.0,40429.0,"Houston, TX",,5853575.0,3339.7733581943,1752.69,918.0,587.0,1505,,,Tier I (Rail),,,
,60009,6009,City of Laredo ,,,Laredo Transit Management Inc.,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,1110 Houston St,,,Laredo,TX,78040.0,8019.0,6,http://www.elmetrotransit.com,2069.0,Y5MTUNLGB2P5,59.0,254042.0,47854.0,"Laredo, TX",,251462.0,3916.55203034659,64.2,45.0,,45,,,Tier II,,,
,60010,6010,City of Lubbock,,,Citibus,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,801 Texas Ave,,2000,Lubbock,TX,79401.0,2723.0,6,http://www.citibus.com/,1993.0,PL9MK2LEAYW7,144.0,266450.0,51877.0,"Lubbock, TX",,272280.0,2562.05882064752,106.27,84.0,,84,,,Tier II,,,
,60011,6011,VIA Metropolitan Transit,,,VIA,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-09-30,2024-01-31,800 W Myrtle St,,12489,San Antonio,TX,78212.0,4233.0,6,http://www.viainfo.net/,1937.0,J4E6A41QHJK9,1210.0,1917621.0,78580.0,"San Antonio, TX",,1992689.0,3248.38392454725,613.44,377.0,291.0,668,,,Tier I (Fixed Route VOMS),,,
,60012,6012,City of Waco,Transit System,WTS,"Waco Transit System, Inc.",Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,300 Austin Ave,,,Waco,TX,76701.0,2209.0,6,https://www.waco-texas.com/Departments/Transit-System,1558.0,Q7GMNFJ36BZ3,99.0,198361.0,91027.0,"Waco, TX",,192844.0,2145.59133459953,89.88,30.0,,30,,,Tier II,,,
,60013,6013,City of Port Arthur ,Transit,PAT,Port Arthur Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,444 4Th St,,1089,Port Arthur,TX,77640.0,6450.0,6,https://www.portarthurtx.gov/201/Transit-Department,1553.0,EMVNEFYW2KN4,39.0,57755.0,70993.0,"Port Arthur, TX",,116819.0,1757.61908647737,66.46,9.0,,9,,,Tier II,,,
,60014,6014,City of Brownsville ,Multimodal Transportation,BMetro,Brownsville Metro,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,1001 E Elizabeth St Ste 234,,,Brownsville,TX,78520.0,5156.0,6,http://btxmetro.org,1591.0,DCJTF4NGTW78,67.0,181860.0,10972.0,"Brownsville, TX",,216444.0,3485.27690149486,62.1,26.0,,26,,,Tier II,,,
,60015,6015,City of Galveston ,,GIT,Galveston Island Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,3115 Market St,,,Galveston,TX,77550.0,1315.0,6,galvestontx.gov/393/Transportation,1543.0,HKTBULBLPQM5,32.0,50307.0,32491.0,"Galveston--Texas City, TX",,191863.0,1760.51093537509,108.98,8.0,5.0,13,,,Tier I (Rail),,,
,60016,6016,City of Beaumont,Transit,BMT,Beaumont Municipal Transit System,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,801 Main St,,,Beaumont,TX,77701.0,3548.0,6,http://www.beaumonttransit.com/,2067.0,JELUBU1G59Z9,41.0,82731.0,6058.0,"Beaumont, TX",,146649.0,1526.01543005055,96.1,,18.0,18,,,Tier II,,,
,60017,6017,Central Oklahoma Transportation and Parking Authority,,COTPA,EMBARK,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,2000 S May Ave,,,Oklahoma City,OK,73108.0,4446.0,6,http://embarkok.com,1525.0,PNYGLKYK9M78,283.0,783134.0,65080.0,"Oklahoma City, OK",,982276.0,2329.15872484839,421.73,66.0,7.0,73,,,Tier I (Rail),,,
,60018,6018,Metropolitan Tulsa Transit Authority,,MTTA,"Tulsa Transit, MetroLink Tulsa",Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,510 S Rockford Ave,,,Tulsa,OK,74120.0,4016.0,6,https://www.metrolinkok.org/,1527.0,CRFGKAN6YNU3,249.0,511352.0,88948.0,"Tulsa, OK",,722810.0,2136.45313542542,338.32,43.0,39.0,82,,,Tier II,,,
